MSN,YYYYMM,Description,Unit,Category,Pred
CLEIEUS,198407,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,119.701
CLEIEUS,198408,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,125.724
CLEIEUS,198409,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.179
CLEIEUS,198410,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,108.583
CLEIEUS,198411,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.546
CLEIEUS,198412,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,112.167
CLEIEUS,198413,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1317.614
CLEIEUS,198501,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,125.429
CLEIEUS,198502,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,109.359
CLEIEUS,198503,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.966
CLEIEUS,198504,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,100.317
CLEIEUS,198505,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.595
CLEIEUS,198506,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,113.584
CLEIEUS,198507,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.626
CLEIEUS,198508,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,124.309
CLEIEUS,198509,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,111.9
CLEIEUS,198510,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,108.331
CLEIEUS,198511,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.034
CLEIEUS,198512,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,124.95
CLEIEUS,198513,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1367.401
CLEIEUS,198601,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.887
CLEIEUS,198602,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,109.086
CLEIEUS,198603,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,106.803
CLEIEUS,198604,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,95.341
CLEIEUS,198605,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,101.892
CLEIEUS,198606,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,116.698
CLEIEUS,198607,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,134.789
CLEIEUS,198608,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,122.28
CLEIEUS,198609,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,112.03
CLEIEUS,198610,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.235
CLEIEUS,198611,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.317
CLEIEUS,198612,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,117.127
CLEIEUS,198613,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1357.485
CLEIEUS,198701,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,124.043
CLEIEUS,198702,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,106.754
CLEIEUS,198703,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,108.607
CLEIEUS,198704,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,102.222
CLEIEUS,198705,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,112.257
CLEIEUS,198706,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.2
CLEIEUS,198707,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,140.582
CLEIEUS,198708,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,139.268
CLEIEUS,198709,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,117.773
CLEIEUS,198710,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,113.515
CLEIEUS,198711,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,111.217
CLEIEUS,198712,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,124.314
CLEIEUS,198713,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1426.753
CLEIEUS,198801,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,133.468
CLEIEUS,198802,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,120.783
CLEIEUS,198803,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,115.584
CLEIEUS,198804,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,106.49
CLEIEUS,198805,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,111.2
CLEIEUS,198806,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,128.537
CLEIEUS,198807,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,141.139
CLEIEUS,198808,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,148.031
CLEIEUS,198809,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,121.057
CLEIEUS,198810,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,117.165
CLEIEUS,198811,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,116.659
CLEIEUS,198812,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,131.695
CLEIEUS,198813,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1491.807
CLEIEUS,198901,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,132.233
CLEIEUS,198902,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,124.345
CLEIEUS,198903,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,122.803
CLEIEUS,198904,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,111.194
CLEIEUS,198905,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,115.915
CLEIEUS,198906,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,126.031
CLEIEUS,198907,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,138.083
CLEIEUS,198908,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,139.614
CLEIEUS,198909,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,124.594
CLEIEUS,198910,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,119.943
CLEIEUS,198911,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,120.824
CLEIEUS,198912,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,143.264
CLEIEUS,198913,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1518.844
CLEIEUS,199001,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,132.923
CLEIEUS,199002,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,116.26
CLEIEUS,199003,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,121.806
CLEIEUS,199004,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,115.909
CLEIEUS,199005,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,118.556
CLEIEUS,199006,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,130.719
CLEIEUS,199007,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,143.146
CLEIEUS,199008,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,146.257
CLEIEUS,199009,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,134.042
CLEIEUS,199010,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,128.8
CLEIEUS,199011,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,122.119
CLEIEUS,199012,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,137.027
CLEIEUS,199013,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1547.564
CLEIEUS,199101,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,143.148
CLEIEUS,199102,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,117.505
CLEIEUS,199103,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,118.823
CLEIEUS,199104,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,111.147
CLEIEUS,199105,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,122.745
CLEIEUS,199106,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,131.945
CLEIEUS,199107,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,144.042
CLEIEUS,199108,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,144.107
CLEIEUS,199109,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,129.099
CLEIEUS,199110,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,124.058
CLEIEUS,199111,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,127.928
CLEIEUS,199112,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,133.633
CLEIEUS,199113,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1548.18
CLEIEUS,199201,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,137.39
CLEIEUS,199202,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,121.125
